freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.800e+01,2.649e+02,2.360e+01,3.065e+02
1.6,3.526e+01,1.872e+02,4.216e+01,2.647e+02
3.2,3.385e+01,6.488e+01,3.798e+01,1.367e+02
4.8,3.395e+01,4.437e+02,4.106e+01,5.187e+02
6.4,3.280e+01,1.332e+03,4.885e+01,1.414e+03
7.9,3.614e+01,2.161e+03,5.296e+01,2.250e+03
9.5,3.620e+01,3.268e+03,5.392e+01,3.358e+03
11.1,4.122e+01,4.605e+03,5.167e+01,4.698e+03
12.7,4.672e+01,6.243e+03,5.017e+01,6.340e+03
14.3,4.496e+01,8.478e+03,4.878e+01,8.572e+03
15.9,5.033e+01,1.108e+04,4.732e+01,1.117e+04
17.5,1.132e+02,1.400e+04,4.752e+01,1.416e+04
19.1,1.596e+02,1.587e+04,4.847e+01,1.608e+04
20.7,9.831e+01,1.911e+04,5.778e+01,1.927e+04
22.3,7.233e+01,2.435e+04,6.042e+01,2.449e+04
23.8,6.796e+01,3.072e+04,5.466e+01,3.084e+04
25.4,6.610e+01,3.874e+04,6.624e+01,3.887e+04
27.0,5.473e+01,4.893e+04,1.218e+02,4.911e+04
28.6,6.219e+01,6.311e+04,2.086e+02,6.338e+04
30.2,1.791e+02,7.746e+04,3.349e+02,7.797e+04
31.8,2.484e+02,9.105e+04,3.688e+02,9.166e+04
33.4,2.201e+02,1.158e+05,3.072e+02,1.163e+05
35.0,5.147e+02,1.603e+05,5.609e+02,1.613e+05
36.6,1.975e+03,2.101e+05,1.374e+03,2.134e+05
38.2,6.461e+03,2.913e+05,4.084e+03,3.018e+05
39.7,1.298e+04,4.405e+05,9.871e+03,4.634e+05
41.3,1.684e+04,5.277e+05,1.497e+04,5.595e+05
42.9,1.560e+04,4.467e+05,1.295e+04,4.752e+05
44.5,1.263e+04,3.165e+05,9.359e+03,3.385e+05
46.1,1.198e+04,2.210e+05,7.028e+03,2.400e+05
47.7,1.386e+04,1.642e+05,6.334e+03,1.844e+05
49.3,1.411e+04,1.353e+05,4.780e+03,1.542e+05
50.9,1.157e+04,1.191e+05,3.505e+03,1.342e+05
52.5,9.165e+03,1.095e+05,3.070e+03,1.217e+05
54.1,7.071e+03,9.903e+04,3.082e+03,1.092e+05
55.6,5.416e+03,8.909e+04,2.500e+03,9.700e+04
57.2,3.430e+03,7.343e+04,2.033e+03,7.889e+04
58.8,2.266e+03,6.335e+04,1.554e+03,6.717e+04
60.4,8.248e+02,8.446e+04,8.051e+02,8.609e+04
62.0,6.237e+02,1.058e+05,1.081e+03,1.075e+05
63.6,1.249e+03,1.004e+05,1.704e+03,1.034e+05
65.2,2.068e+03,8.801e+04,2.676e+03,9.275e+04
66.8,2.274e+03,7.773e+04,3.711e+03,8.371e+04
68.4,2.227e+03,6.716e+04,5.935e+03,7.532e+04
70.0,2.659e+03,5.838e+04,1.002e+04,7.107e+04
71.5,3.255e+03,4.926e+04,1.324e+04,6.576e+04
73.1,3.210e+03,3.799e+04,1.332e+04,5.452e+04
74.7,2.550e+03,2.644e+04,1.181e+04,4.080e+04
76.3,2.454e+03,1.646e+04,1.442e+04,3.333e+04
77.9,2.695e+03,1.104e+04,1.836e+04,3.210e+04
79.5,3.181e+03,1.092e+04,2.643e+04,4.053e+04
81.1,3.815e+03,2.029e+04,2.222e+04,4.633e+04
82.7,7.549e+03,3.866e+04,2.733e+04,7.354e+04
84.3,1.042e+04,4.879e+04,3.821e+04,9.742e+04
85.9,1.274e+04,4.688e+04,4.737e+04,1.070e+05
87.4,1.461e+04,4.345e+04,5.605e+04,1.141e+05
89.0,1.705e+04,4.205e+04,6.762e+04,1.267e+05
90.6,1.833e+04,3.771e+04,6.773e+04,1.238e+05
92.2,1.796e+04,3.547e+04,6.165e+04,1.151e+05
93.8,1.703e+04,3.398e+04,5.830e+04,1.093e+05
95.4,1.646e+04,2.764e+04,5.077e+04,9.487e+04
97.0,1.619e+04,2.139e+04,3.958e+04,7.716e+04
98.6,1.530e+04,1.719e+04,3.254e+04,6.503e+04
100.2,1.398e+04,1.580e+04,3.497e+04,6.476e+04
101.8,1.245e+04,1.370e+04,3.389e+04,6.004e+04
103.3,1.273e+04,9.418e+03,3.553e+04,5.768e+04
104.9,1.348e+04,4.859e+03,3.226e+04,5.060e+04
106.5,1.404e+04,3.736e+03,2.245e+04,4.022e+04
108.1,1.447e+04,6.944e+03,1.464e+04,3.605e+04
109.7,1.511e+04,1.424e+04,8.804e+03,3.815e+04
111.3,1.549e+04,2.234e+04,5.696e+03,4.353e+04
112.9,1.333e+04,2.403e+04,6.140e+03,4.351e+04
114.5,1.294e+04,3.429e+04,6.455e+03,5.369e+04
116.1,1.476e+04,5.515e+04,5.394e+03,7.531e+04
117.7,1.763e+04,9.404e+04,6.822e+03,1.185e+05
119.2,1.947e+04,1.465e+05,1.435e+04,1.803e+05
120.8,2.241e+04,1.778e+05,3.162e+04,2.318e+05
122.4,3.136e+04,1.707e+05,5.092e+04,2.530e+05
124.0,4.163e+04,1.469e+05,4.756e+04,2.361e+05
125.6,4.832e+04,1.711e+05,4.686e+04,2.662e+05
127.2,4.662e+04,1.796e+05,4.506e+04,2.713e+05
128.8,4.222e+04,1.724e+05,4.083e+04,2.554e+05
130.4,3.647e+04,1.528e+05,3.628e+04,2.256e+05
132.0,2.839e+04,1.088e+05,2.809e+04,1.653e+05
133.6,1.262e+04,4.118e+04,1.336e+04,6.716e+04
135.1,4.831e+03,1.202e+04,5.761e+03,2.261e+04
136.7,4.544e+03,1.258e+04,4.559e+03,2.169e+04
138.3,4.478e+03,1.348e+04,3.845e+03,2.180e+04
139.9,4.472e+03,1.377e+04,3.329e+03,2.157e+04
141.5,4.224e+03,1.364e+04,2.952e+03,2.082e+04
143.1,4.157e+03,1.299e+04,2.922e+03,2.007e+04
144.7,3.849e+03,1.197e+04,2.744e+03,1.856e+04
146.3,3.412e+03,1.047e+04,2.364e+03,1.625e+04
147.9,3.274e+03,1.049e+04,2.692e+03,1.646e+04
