freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.621e+01,1.259e+01,2.781e+02,3.169e+02
1.6,2.708e+01,4.190e+01,1.697e+02,2.387e+02
3.2,1.886e+01,4.849e+01,3.888e+01,1.062e+02
4.8,2.224e+01,5.291e+01,4.145e+02,4.896e+02
6.4,2.454e+01,5.175e+01,1.384e+03,1.460e+03
7.9,2.853e+01,5.172e+01,2.246e+03,2.326e+03
9.5,2.864e+01,5.531e+01,3.566e+03,3.649e+03
11.1,3.381e+01,6.041e+01,5.352e+03,5.446e+03
12.7,5.694e+01,7.246e+01,7.507e+03,7.636e+03
14.3,4.367e+01,7.809e+01,1.009e+04,1.021e+04
15.9,3.595e+01,6.865e+01,1.381e+04,1.392e+04
17.5,4.335e+01,6.489e+01,1.900e+04,1.910e+04
19.1,3.857e+01,6.585e+01,2.587e+04,2.598e+04
20.7,3.504e+01,7.127e+01,3.601e+04,3.611e+04
22.3,4.906e+01,8.935e+01,5.158e+04,5.172e+04
23.8,6.821e+01,1.451e+02,7.828e+04,7.849e+04
25.4,3.367e+02,1.787e+02,1.337e+05,1.342e+05
27.0,3.738e+03,3.219e+02,2.932e+05,2.972e+05
28.6,1.169e+04,1.431e+03,4.571e+05,4.702e+05
30.2,1.461e+04,2.899e+03,3.846e+05,4.021e+05
31.8,1.627e+04,3.445e+03,2.771e+05,2.968e+05
33.4,1.775e+04,2.391e+03,1.971e+05,2.172e+05
35.0,1.712e+04,1.027e+03,1.373e+05,1.554e+05
36.6,1.318e+04,5.484e+02,1.073e+05,1.210e+05
38.2,1.560e+04,6.448e+02,8.440e+04,1.007e+05
39.7,2.747e+04,1.114e+03,5.773e+04,8.631e+04
41.3,3.907e+04,1.116e+03,4.114e+04,8.133e+04
42.9,4.510e+04,8.179e+02,3.702e+04,8.294e+04
44.5,3.523e+04,8.826e+02,3.313e+04,6.925e+04
46.1,2.310e+04,9.765e+02,2.526e+04,4.933e+04
47.7,2.012e+04,1.335e+03,1.999e+04,4.144e+04
49.3,2.581e+04,3.216e+03,2.222e+04,5.124e+04
50.9,3.276e+04,4.890e+03,3.163e+04,6.928e+04
52.5,3.208e+04,5.223e+03,3.310e+04,7.040e+04
54.1,2.672e+04,5.399e+03,3.211e+04,6.422e+04
55.6,2.276e+04,5.612e+03,3.270e+04,6.107e+04
57.2,1.839e+04,6.303e+03,2.841e+04,5.310e+04
58.8,1.638e+04,6.003e+03,2.674e+04,4.912e+04
60.4,1.469e+04,4.278e+03,2.617e+04,4.514e+04
62.0,1.181e+04,2.579e+03,2.400e+04,3.839e+04
63.6,1.151e+04,1.966e+03,2.204e+04,3.551e+04
65.2,1.151e+04,1.797e+03,2.561e+04,3.892e+04
66.8,1.099e+04,2.026e+03,3.711e+04,5.012e+04
68.4,1.013e+04,3.437e+03,5.928e+04,7.285e+04
70.0,9.691e+03,6.536e+03,8.456e+04,1.008e+05
71.5,1.003e+04,8.195e+03,1.027e+05,1.209e+05
73.1,1.081e+04,6.638e+03,1.128e+05,1.303e+05
74.7,1.141e+04,5.905e+03,1.379e+05,1.552e+05
76.3,9.720e+03,4.870e+03,1.570e+05,1.716e+05
77.9,8.406e+03,4.823e+03,1.317e+05,1.449e+05
79.5,9.592e+03,5.224e+03,1.400e+05,1.549e+05
81.1,1.010e+04,4.454e+03,1.437e+05,1.583e+05
82.7,6.973e+03,2.229e+03,9.490e+04,1.041e+05
84.3,3.363e+03,7.664e+02,4.494e+04,4.907e+04
85.9,2.730e+03,7.577e+02,4.134e+04,4.483e+04
87.4,2.830e+03,6.834e+02,4.386e+04,4.737e+04
89.0,2.720e+03,7.163e+02,4.091e+04,4.434e+04
90.6,2.368e+03,9.667e+02,3.872e+04,4.205e+04
92.2,2.051e+03,1.370e+03,3.780e+04,4.122e+04
93.8,1.738e+03,1.812e+03,3.442e+04,3.797e+04
95.4,1.291e+03,1.443e+03,2.649e+04,2.922e+04
97.0,8.157e+02,7.944e+02,1.901e+04,2.062e+04
98.6,6.668e+02,7.290e+02,1.675e+04,1.814e+04
100.2,1.261e+03,7.684e+02,1.579e+04,1.782e+04
101.8,2.428e+03,1.089e+03,2.279e+04,2.630e+04
103.3,3.810e+03,1.721e+03,3.403e+04,3.957e+04
104.9,4.379e+03,2.079e+03,3.799e+04,4.445e+04
106.5,4.043e+03,2.072e+03,3.436e+04,4.048e+04
108.1,3.332e+03,1.957e+03,2.850e+04,3.378e+04
109.7,2.337e+03,2.407e+03,2.606e+04,3.081e+04
111.3,9.798e+02,4.074e+03,2.216e+04,2.722e+04
112.9,5.734e+02,3.499e+03,1.122e+04,1.530e+04
114.5,6.829e+02,3.680e+03,6.650e+03,1.101e+04
116.1,9.905e+02,5.406e+03,5.626e+03,1.202e+04
117.7,1.664e+03,7.905e+03,5.439e+03,1.501e+04
119.2,3.237e+03,9.103e+03,8.861e+03,2.120e+04
120.8,4.595e+03,5.427e+03,1.513e+04,2.515e+04
122.4,3.533e+03,3.951e+03,1.497e+04,2.246e+04
124.0,3.454e+03,5.046e+03,1.347e+04,2.197e+04
125.6,3.793e+03,6.553e+03,1.051e+04,2.086e+04
127.2,4.080e+03,7.834e+03,7.746e+03,1.966e+04
128.8,4.178e+03,7.679e+03,5.371e+03,1.723e+04
130.4,3.775e+03,6.356e+03,4.684e+03,1.482e+04
132.0,2.797e+03,4.897e+03,4.649e+03,1.234e+04
133.6,1.267e+03,2.860e+03,3.429e+03,7.555e+03
135.1,5.047e+02,1.369e+03,2.631e+03,4.504e+03
136.7,5.722e+02,1.260e+03,2.396e+03,4.227e+03
138.3,7.984e+02,1.771e+03,2.348e+03,4.918e+03
139.9,1.007e+03,2.018e+03,2.032e+03,5.057e+03
141.5,1.187e+03,2.204e+03,1.731e+03,5.122e+03
143.1,1.272e+03,2.462e+03,1.590e+03,5.324e+03
144.7,1.127e+03,2.088e+03,1.552e+03,4.767e+03
146.3,1.038e+03,2.040e+03,1.546e+03,4.625e+03
147.9,1.113e+03,2.912e+03,1.623e+03,5.649e+03
